Kecamatan,,,
,"Jumlah Dusun, Rukun Warga (RW), dan Rukun Tetangga (RT) Menurut Kecamatan di Kabupaten Kebumen",,
,Dusun,RW,RT
,2023,2023,2023
Ayah,71,82,416
Buayan,86,90,346
Puring,120,99,320
Petanahan,81,80,269
Klirong,95,101,305
Buluspesantren,91,89,290
Ambal,153,116,313
Mirit,104,69,266
Bonorowo,48,42,139
Prembun,50,40,139
Padureso,32,23,85
Kutowinangun,78,80,245
Alian,62,73,287
Poncowarno,47,34,99
Kebumen,113,143,612
Pejagoan,71,68,266
Sruweng,92,99,348
Adimulyo,106,81,231
Kuwarasan,78,86,248
Rowokele,57,61,327
Sempor,66,78,377
Gombong,53,82,296
Karanganyar,41,60,243
Karanggayam,74,76,403
Sadang,29,37,151
Karangsambung,67,64,267
Kabupaten Kebumen,1965,1953,7288